id,creationdate,score,viewcount,title,answercount,commentcount,favoritecount,quest_name,quest_rep,ans_name,ans_rep
"53992768","2019-01-01 02:58:12","3","138","Duplicated() function as boolean indexing generates different result compares with drop_duplicates","1","0","","NewPy","633","BENY","318176"
"53992939","2019-01-01 04:05:45","1","387","How to find max Amount per month (for the year)","1","0","","farhany","1243","Venkatachalam","16328"
"53993497","2019-01-01 06:35:10","0","109","How can I add a new column to dataframe that uses a function to check if values from two columns fit specific criteria?","1","0","0","Insu Q","403","xudesheng","1082"
"53993801","2019-01-01 07:35:23","1","4115","problem in setting index in pandas DataFrame","1","4","","ishan","47","DirtyBit","16613"
"53994331","2019-01-01 09:25:08","1","194","How do I add/calculate a 'Balance' row?","1","1","0","farhany","1243","",""
"53995483","2019-01-01 12:36:39","0","217","Fetch points label within specified distance/Boundary- Python","1","6","","Bhuvan Kumar","554","Dani Mesejo","61539"
"53995570","2019-01-01 12:48:47","0","781","Fetch DB tables blueprint like ""describe table_name"" commande from redshift and DB2 from python","1","0","","Salman Asif","1","",""
"53997040","2019-01-01 16:24:01","0","1318","How to get multiple values from Pandas dataframe whose indices and columns are known?","1","1","","GingerBadger","312","",""
"53997095","2019-01-01 16:31:57","1","75","Remove rows below first occurrence of a particular value","1","2","","peng786234","13","cs95","380953"
"53997630","2019-01-01 17:50:25","-2","32","Sorting by columns after grouping generating error","1","2","0","","","",""
"53997770","2019-01-01 18:09:45","0","1115","using the .at[ ] and .iat[ ] accessors in pandas","1","1","","Khalil Kaddoura","15","",""
"53998908","2019-01-01 21:00:52","0","157","Pandas max dayofyear by year","1","1","","trob","387","",""
"53998915","2019-01-01 21:01:32","0","45","Python/Pandas/Matplotlib - Iterating/Looping Through Charts - Duplicate Charts Issue","1","0","","Sandy McAllister","35","Sandy McAllister","35"
"53998952","2019-01-01 21:08:14","0","44","Pandas chained methods to plot count of categories based on years","1","3","","BhishanPoudel","16004","BhishanPoudel","16004"
"53999234","2019-01-01 21:52:32","0","41","Convert rows of text into pandas structure","1","1","0","MathiasRa","825","Max Sirwa","151"
"53999291","2019-01-01 22:03:34","2","25","Filling missing values in a dataframe based on first valid non-null column","1","0","","jay queue","275","BENY","318176"
"53999313","2019-01-01 22:06:54","1","837","How do I rename columns of a df with a for loop and new column names deriving from other df?","1","2","","Peter Klopp","13","jpp","159982"
"53999521","2019-01-01 22:42:38","0","43","How to match element from set according to user input?","1","0","","Data_is_Power","765","yatu","86183"
"53999811","2019-01-01 23:43:28","9","10598","Pandas xlsxwriter to write dataframe to excel and implementing column-width and border related formatting","1","3","0","Sinha","426","",""
"54000271","2019-01-02 01:29:16","1","54","Efficiently merging subsequences in pandas","1","0","","Valeria","1508","",""
"54000521","2019-01-02 02:20:24","0","109","adding values to a sub column with pandas in python","1","3","","Fede","1656","",""
"54001432","2019-01-02 05:02:27","3","1107","Pandas calling apply on an empty dataframe using the reduce option changes datatypes","1","3","0","Bala","1129","hygull","8474"
"54001665","2019-01-02 05:33:20","2","65","How to clear values from columns with the values ""No"" instead of NaN?","1","5","","","","Sociopath","13123"
"54003239","2019-01-02 08:25:18","2","81","Conditional if statement function best method?","1","0","","Chris90","1868","jezrael","824905"
"54003584","2019-01-02 09:00:42","1","456","Is there a way to do pandas correlation between multiple columns and create new column with result on the same dataframe?","1","0","","rescot","325","jezrael","824905"
"54003605","2019-01-02 09:02:09","-3","285","How to update column values in place without creating a new column?","1","0","","vicky ","249","",""
"54003974","2019-01-02 09:32:41","0","154","Concatenate pandas Data frame with Series and multiply the second element","1","4","","jhon.smith","1973","jezrael","824905"
"54004127","2019-01-02 09:45:21","0","527","How To Remove \x95 chars from text - Pandas?","1","1","","iSerd","178","meW","3832"
"54004469","2019-01-02 10:12:45","1","1569","pymongo cursor to Pandas dataframes","1","1","0","Cerebration","23","",""
"54004687","2019-01-02 10:28:18","0","1826","how to create a column hierarchical index in pandas data frame","1","0","","Manu Sharma","1593","jezrael","824905"
"54004736","2019-01-02 10:32:08","1","248","representing strings as features in decision trees with vocabulary size of 200(with or without one-hot encoding)","1","3","0","citizenfour","60","",""
"54005535","2019-01-02 11:30:02","2","1850","Select top N rows by a specific sum value of one column in Python","1","2","","ah bon","9345","jezrael","824905"
"54005974","2019-01-02 12:00:02","1","44","Change values in columns of dataframe depending on values of other columns (values come from lists)","1","2","","Denis","99","jpp","159982"
"54006125","2019-01-02 12:10:02","1","544","Pandas: Forward and Backward rows count given a specific signal value","1","2","","RaduS","2465","yatu","86183"
"54006131","2019-01-02 12:10:35","2","167","Python: Changing datatype of index from object to date time removes time (HH:MM:SS)","1","2","","GJB","53","anky","74174"
"54007240","2019-01-02 13:28:40","4","74","Naming a column in pandas that is dependent on a function","1","0","","MRHarv","491","jezrael","824905"
"54008474","2019-01-02 14:54:56","-5","218","export table to csv keeping format python","1","5","","CRISSI","1","",""
"54008597","2019-01-02 15:03:39","0","1266","How to add multiple Series (Pandas) together when iterating through a for loop?","1","3","","Luka Vlaskalic","445","",""
"54009344","2019-01-02 15:56:35","0","34","Python Pandas: Conditional Updating of Column Values Based on Another Col ('int' object is not subscriptable) error","1","3","","PineNuts0","4774","",""
"54009470","2019-01-02 16:04:03","0","690","How to draw time series of words occurrence in Matplotlib with python?","1","2","","malloc","604","Dani G","1202"
"54009571","2019-01-02 16:10:35","1","50","Mapping datetime columns of two tables","1","3","","ALB2345","23","",""
"54009831","2019-01-02 16:28:37","2","63","Multiple Formatting Methods for MultiIndex Table","1","3","","Stats DUB01","431","Scott Boston","147783"
"54010666","2019-01-02 17:30:08","1","62","How can I Set Index on uneven length rows in Python?","1","0","","P2Insights","35","Polkaguy6000","1150"
"54011281","2019-01-02 18:21:36","0","230","Convert fractional seconds passed since onset to a date time index","1","0","0","rickstaa","440","rickstaa","440"
"54011415","2019-01-02 18:31:59","2","179","Bar plot in Pandas from several dataframes","1","0","","user2512443","475","BENY","318176"
"54011714","2019-01-02 18:56:46","0","2648","How does the isnull() method work to return all rows that are missing in my data frame?","1","3","","Aaraeus","1105","",""
"54012279","2019-01-02 19:47:03","0","75","Can I tie specific functions to Pandas dataframe columns?","1","3","","redmage123","433","",""
"54012575","2019-01-02 20:13:45","2","172","How to flat specific columns of a Dataframe(pandas)?","1","1","","AvyWam","900","BENY","318176"
"54013070","2019-01-02 20:55:55","0","192","Possible to read an incomplete excel file?","1","8","","","","",""
"54013327","2019-01-02 21:19:20","0","188","Convert a pandas column list of nested dictionaries into separate columns","1","2","","The Dodo","711","",""
"54013418","2019-01-02 21:30:36","1","46","How to read, transpose, and stack rows based on whether a row value is the same across them","1","1","","julieb","43","",""
"54013648","2019-01-02 21:52:33","0","2938","Python: How can I read a file in x encoding and save it as utf-8","1","7","","luisfer","1927","Mark Tolonen","166943"
"54013858","2019-01-02 22:12:47","4","6797","How to Set Scatter Plot Hover Info With Pandas Dataframe Column in Python With Plotly","1","0","","Lucas Moskun","172","Lucas Moskun","172"
"54014341","2019-01-02 23:06:34","0","465","unable to change dtype pandas python","1","1","","Todd Shannon","547","BENY","318176"
"54014693","2019-01-02 23:53:00","1","136","How to access results from extractall on a dataframe","1","1","","VortexProf","117","Ben.T","29190"
"54015290","2019-01-03 01:33:23","2","641","How to loop lists of list obtained from python-docx where each list is a table and write the tables into a seperate worksheets","1","0","","user8720570","75","J_H","17966"
"54015631","2019-01-03 02:38:05","1","439","Pandas: Why are my headers being inserted into the first row of my dataframe?","1","0","","Eeshwar","63","",""
