id,creationdate,score,viewcount,title,answercount,commentcount,favoritecount,quest_name,quest_rep,ans_name,ans_rep
"65526429","2021-01-01 00:07:02","0","341","Python: clear a specific range of data from a column in a dataframe","1","1","","mhol84n","1","",""
"65526430","2021-01-01 00:07:03","1","140","How to accelerate the speed of this pandas apply","1","1","0","Steven Li","13","galaxyan","5954"
"65526864","2021-01-01 02:11:23","4","56","Could you please help me pivot this pandas data frame in python?","1","0","","BigNash88","43","coffeinjunky","11274"
"65527125","2021-01-01 03:33:58","3","76","Creating a dict of list from pandas row?","1","5","0","Lostsoul","25043","sotmot","1256"
"65527180","2021-01-01 03:51:27","1","511","Pandas & requests code for financial analysis giving KeyError:0","1","4","","CoffeeBaconAddict","43","Rob Raymond","29278"
"65527244","2021-01-01 04:17:54","1","2103","Python pandas pivot table doesn't return all columns","1","3","0","user14887623","47","Suhas Mucherla","1383"
"65527445","2021-01-01 05:25:35","1","67","Pandas map a dict of lists?","1","0","","Lostsoul","25043","BENY","318176"
"65527797","2021-01-01 06:49:30","1","350","Data visualization: Choropleth map not displaying color","1","1","0","quockhanhcao","13","r-beginners","31405"
"65528466","2021-01-01 09:05:48","-1","114","How to get column values from another dataframe with a different datetime index","1","0","","Tjorriemorrie","16858","Suhas Mucherla","1383"
"65528952","2021-01-01 10:35:56","0","559","How to pass pandas data frame between classes","1","1","0","Codezzz","235","",""
"65529310","2021-01-01 11:31:54","0","54","Determine distance from Latitude and Longitude","1","5","","ramreddy bolla","139","adir abargil","5495"
"65529545","2021-01-01 12:09:07","0","90","How To Run Matplotlib with CSV file containing headings","1","0","","Lucia","31","",""
"65530214","2021-01-01 13:51:47","0","770","How to set fontsize for title in pandas.DataFrame.plot()?","1","2","","Paw in Data","1272","Paw in Data","1272"
"65530880","2021-01-01 15:14:13","1","133","Python pandas: pivot table columns sorting","1","1","","user14887623","47","ABC","645"
"65531066","2021-01-01 15:38:20","0","127","How to write complete data in csv file","1","4","","Ajay","320","srishtigarg","1106"
"65531127","2021-01-01 15:44:42","1","37","How to incrementally count each different value in a pandas dataframe","1","0","","bismo","1267","Grzegorz Skibinski","12614"
"65531491","2021-01-01 16:29:03","0","27","Using the map and lower functions together","1","1","","PKTN100","11","",""
"65531569","2021-01-01 16:38:39","0","944","String replacement in pandas dataframe generates ""sre_constants.error: unterminated character set"" error","1","1","","NeilS","65","",""
"65531630","2021-01-01 16:45:15","0","47","Can't retrieve data from Pandas DF, can't replace values in column in Pandas DF","1","0","","Alex","23","",""
"65531836","2021-01-01 17:11:34","0","41","How to subset output of pandas contain statement to give all True values?","1","4","","Ii Oo","95","YevKad","650"
"65531865","2021-01-01 17:15:36","1","1298","pyarrow and pandas integration","1","0","","Capacytron","3447","Uwe L. Korn","8110"
"65531900","2021-01-01 17:18:47","0","1039","Pandas: How to select values from this month and the last two months?","1","1","0","jecklymeister","65","",""
"65532070","2021-01-01 17:37:26","1","57","Calculate column from data frame","1","1","","Greger","11","",""
"65532189","2021-01-01 17:50:46","0","268","Problems running 'botometer-python' script over multiple user accounts & saving to CSV","1","0","","gzpach","65","KJDII","851"
"65532367","2021-01-01 18:12:18","0","446","bokeh error FactorRange must specify a unique list of categorical factors for an axis: duplicate factors found: 'M. Laxmikanth'","1","2","","user8314628","1952","bigreddot","33752"
"65532765","2021-01-01 19:03:44","0","299","Copy values from one dataframe column to another","1","0","","hyeri","673","ggaurav","1774"
"65532799","2021-01-01 19:06:58","1","192","Pandas Auto Generate CSV","1","0","","krcyn","21","Paul Brennan","2638"
"65533028","2021-01-01 19:37:46","2","1251","Create clusters based on string similarly in pandas","1","10","","Red Vibes","79","",""
"65533154","2021-01-01 19:51:16","1","42","Pandas 'bar' chart groups DateTimeIndex entries, while standard plot doesn't","1","3","","tonysepia","3340","tonysepia","3340"
"65533258","2021-01-01 20:04:46","0","373","Why I can't get a pie diagram from dataframe. TypeError: '<' not supported between instances of 'str' and 'int'","1","1","","IgBell","391","Diziet Asahi","38499"
"65533325","2021-01-01 20:13:27","-3","62","how to write csv file using using python pandas","1","0","","Shohel hasan","1","",""
"65533350","2021-01-01 20:18:04","0","206","pandas DataFrame rolling apply np.argmin and manual np.argmin give different results","1","0","","nilo","818","",""
"65533454","2021-01-01 20:31:32","1","1765","Interactive Brokers Python Multiple Symbol Request","1","0","0","John","479","brian","10639"
"65533768","2021-01-01 21:14:15","1","708","Pandas apply function throws NotImplementedError","1","8","","mike_gundy123","469","David Erickson","16443"
"65533798","2021-01-01 21:19:41","0","160","How to split one column into multiple with uneven delimiters","1","0","","OzWalt","1","",""
"65533938","2021-01-01 21:40:11","0","56","How to use values from 2 columns in my dataframe to assign a new column using a dictionary","1","0","","saksham gupta","5","Akshay Sehgal","18771"
"65534079","2021-01-01 22:04:32","0","59","How to do if and statement on a particular row, and if true to sent a message with row contents to my phone in Python?","1","0","","alty1723","11","",""
"65534148","2021-01-01 22:14:12","2","71","Merge dataframes on multiple columns","1","1","","Gino Antonio Peduto","33","Hoori M.","700"
"65534242","2021-01-01 22:25:58","1","224","Calculate average of a column in two dataframes, then plot the averages of each dataframe in a barplot with a specific label?","1","0","","","","AndrewGraham","310"
"65534341","2021-01-01 22:41:36","1","125","How to separate a list of strings into several lines within a row/cell?","1","4","","yts61","1162","David Erickson","16443"
"65534751","2021-01-01 23:44:58","0","276","How can I fill a dataframe from a recursive dictionary values?","1","5","","Enrique","842","David Erickson","16443"
"65534834","2021-01-01 23:57:13","1","873","Fill in NaN in Pandas Dataframe using trend of previous valid values","1","6","","lrobertd","13","David Erickson","16443"
"65535112","2021-01-02 00:52:57","1","1765","How to set x ticks for seaborn (python) line plot","1","0","0","Sunnie","91","tsj","758"
"65535195","2021-01-02 01:11:59","1","58","CSV.File ignores options","1","0","","theother","307","Bogumił Kamiński","67349"
"65535289","2021-01-02 01:32:26","1","1171","Live graphing in dash","1","0","","Leemosh","883","houtanb","3852"
"65535311","2021-01-02 01:35:06","1","52","convert multiple strings from selenium and Beautiful soup to CSV file","1","4","","kyle martin","13","",""
"65535582","2021-01-02 02:38:17","0","394","Web scraping a list of pages from the same website using python","1","0","","CMonte2","43","Jonathan Leon","5450"
"65535777","2021-01-02 03:27:12","0","39","pandas.Series.append() adding new value as an extra column rather than appending it to the end of the series","1","4","","Alexander L","61","",""
"65535784","2021-01-02 03:28:41","1","1871","How to annotate the minimum of a box plot in Seaborn excluding the outliers?","1","0","","Rob","241","Derek O","17005"
"65535916","2021-01-02 04:03:20","1","36","Plotting values normalised","1","0","","V_sqrt","537","David Erickson","16443"
"65537292","2021-01-02 08:36:12","1","48","To count dictionary lookup from dataframe","1","2","","Mark K","8789","Shubham Sharma","69067"
"65537460","2021-01-02 09:02:37","-1","215","How to extract datatype columns without dtype function","1","2","0","Naruto","139","",""
"65537793","2021-01-02 09:47:46","2","34","Plot Specific Column from Multindex Table with Pandas","1","0","","Reut","1555","Shubham Sharma","69067"
"65538087","2021-01-02 10:26:43","-1","82","Find closest column to pandas dataframe avg","1","3","0","PathFinder","13","Stef","28796"
"65538171","2021-01-02 10:36:40","3","597","fillna with linear regression model built from two columns in dataframe pandas","1","3","","haneulkim","4484","JE_Muc","5413"
"65538234","2021-01-02 10:44:36","0","287","Write JSON file with X and Y axis","1","0","","SMR","401","ABC","645"
"65538375","2021-01-02 11:01:18","2","179","Pandas Dataframe to rank every 2 increment values in a column with groupby another column value","1","2","","jjccgoh","35","Pygirl","12999"
"65539061","2021-01-02 12:25:14","0","378","Pandas data frame indexing error while index exists","1","1","","Olive Yew","351","Lukas Schmid","1895"
"65539362","2021-01-02 12:59:13","0","1133","Confidence interval does not display on barplot","1","0","","","","Diziet Asahi","38499"
"65539652","2021-01-02 13:35:46","1","313","Convert timeseries csv in Python","1","0","","lapplapp","51","Ahmad Chaiban","106"
"65539654","2021-01-02 13:35:57","0","240","create dataframe from columns of another dataframe","1","1","","user4599","87","Epsi95","8862"
"65539694","2021-01-02 13:39:14","2","594","How to run Profile Report from pandas_profiling?","1","4","","Marcelina Piechnik","21","",""
"65540193","2021-01-02 14:28:33","-2","100","Pandas gives me an empty data frame after filtering","1","2","","ferhatmetin34","1","",""
"65540837","2021-01-02 15:31:24","1","44","Dataframe within a Dataframe - to create new column_","1","0","","GDog","163","ansev","30352"
"65540951","2021-01-02 15:43:04","0","326","Compare 2 columns and merge rows on match?","1","1","","Throwtex","13","peractio","593"
"65541032","2021-01-02 15:50:50","1","60","how to use a column of df in a pivot table more than once","1","1","0","thefbay","11","",""
"65541166","2021-01-02 16:02:31","1","570","Predicting purchase probability based on prior orders?","1","1","","Zwiebak","344","",""
"65541216","2021-01-02 16:06:33","0","93","pandas dayofyear for a period of 2 years","1","1","","Schach21","402","Rob Raymond","29278"
"65541235","2021-01-02 16:07:54","1","78","Conditional mapping among columns of two data frames with Pandas Data frame","1","2","","Md Rahat Mahmud","23","Code Different","90717"
"65541342","2021-01-02 16:18:41","0","637","How to Append data in existing postgres table with incrementing primary key using python df._topostgis?","1","2","","Abhilash Singh Chauhan","291","",""
"65541559","2021-01-02 16:41:30","1","157","How to count the frequency of observation by group","1","0","0","Sunnie","91","Code Different","90717"
"65541960","2021-01-02 17:22:34","1","37","Pandas routine to modify Dataframe","1","2","","SQ_TMO","13","Asish M.","2588"
